Team,Projected Win,Actual Win,AverageAge
Akron,1,1,1.98
Clemson,10,10,2.04
Florida State,2,3,2.07
East Carolina,0,3,2.1
Wake Forest,4,4,2.13
North Carolina,8,8,2.21
Louisiana Tech,2,5,2.22
TCU,5,6,2.25
Middle Tennessee,3,3,2.31
Army,7,9,2.48
UTEP,0,3,2.48
Louisiana,8,10,2.49
Houston,6,3,2.61
Vanderbilt,0,0,2.64
Ohio State,7,7,2.69
Texas State,2,2,2.71
Notre Dame,9,10,2.79
Rutgers,2,3,2.9
Ohio,3,2,2.9
Navy,4,3,2.9
